filename,classNum,className
1-1.wav,1,Anger
1-10.wav,1,Anger
1-100.wav,1,Anger
1-101.wav,1,Anger
1-102.wav,1,Anger
1-103.wav,1,Anger
1-104.wav,1,Anger
1-105.wav,1,Anger
1-106.wav,1,Anger
1-107.wav,1,Anger
1-108.wav,1,Anger
1-109.wav,1,Anger
1-11.wav,1,Anger
1-110.wav,1,Anger
1-111.wav,1,Anger
1-112.wav,1,Anger
1-113.wav,1,Anger
1-114.wav,1,Anger
1-115.wav,1,Anger
1-116.wav,1,Anger
1-117.wav,1,Anger
1-118.wav,1,Anger
1-119.wav,1,Anger
1-12.wav,1,Anger
1-120.wav,1,Anger
1-121.wav,1,Anger
1-122.wav,1,Anger
1-123.wav,1,Anger
1-124.wav,1,Anger
1-125.wav,1,Anger
1-126.wav,1,Anger
1-127.wav,1,Anger
1-128.wav,1,Anger
1-129.wav,1,Anger
1-13.wav,1,Anger
1-130.wav,1,Anger
1-131.wav,1,Anger
1-132.wav,1,Anger
1-133.wav,1,Anger
1-134.wav,1,Anger
1-135.wav,1,Anger
1-136.wav,1,Anger
1-137.wav,1,Anger
1-138.wav,1,Anger
1-139.wav,1,Anger
1-14.wav,1,Anger
1-140.wav,1,Anger
1-141.wav,1,Anger
1-142.wav,1,Anger
1-143.wav,1,Anger
1-144.wav,1,Anger
1-145.wav,1,Anger
1-146.wav,1,Anger
1-147.wav,1,Anger
1-148.wav,1,Anger
1-149.wav,1,Anger
1-15.wav,1,Anger
1-150.wav,1,Anger
1-151.wav,1,Anger
1-152.wav,1,Anger
1-153.wav,1,Anger
1-154.wav,1,Anger
1-155.wav,1,Anger
1-156.wav,1,Anger
1-157.wav,1,Anger
1-158.wav,1,Anger
1-159.wav,1,Anger
1-16.wav,1,Anger
1-160.wav,1,Anger
1-161.wav,1,Anger
1-162.wav,1,Anger
1-163.wav,1,Anger
1-164.wav,1,Anger
1-165.wav,1,Anger
1-166.wav,1,Anger
1-167.wav,1,Anger
1-168.wav,1,Anger
1-169.wav,1,Anger
1-17.wav,1,Anger
1-170.wav,1,Anger
1-171.wav,1,Anger
1-172.wav,1,Anger
1-173.wav,1,Anger
1-174.wav,1,Anger
1-175.wav,1,Anger
1-176.wav,1,Anger
1-177.wav,1,Anger
1-178.wav,1,Anger
1-179.wav,1,Anger
1-18.wav,1,Anger
1-180.wav,1,Anger
1-181.wav,1,Anger
